Pair,Asset 1,Asset 2,Copula,Param 1,Param 2,Log-Likelihood,Num Params,AIC,BIC
AAPL_BTC-USD,AAPL,BTC-USD,Student-t,0.1299276087254046,2.1,423.0812160657606,2,-842.1624321315212,-831.093975478973
AAPL_ETH-USD,AAPL,ETH-USD,Student-t,0.1386438699829819,2.1,424.3736389761125,2,-844.747277952225,-833.6788212996768
AAPL_EURUSD=X,AAPL,EURUSD=X,Student-t,-0.3811544396495963,2.1,195.1562645981594,2,-386.3125291963188,-375.2440725437706
AAPL_GLD,AAPL,GLD,Student-t,-0.0843845350980702,2.1,392.4751582358922,2,-780.9503164717844,-769.8818598192362
AAPL_MSFT,AAPL,MSFT,Student-t,0.602536864198758,5.0,541.499215769094,2,-1078.998431538188,-1067.92997488564
AAPL_QQQ,AAPL,QQQ,Student-t,0.7355740907846043,5.0,846.2523341684637,2,-1688.5046683369274,-1677.4362116843793
AAPL_SPY,AAPL,SPY,Student-t,0.6571711409949081,5.0,647.3346618734458,2,-1290.6693237468917,-1279.6008670943436
AAPL_TLT,AAPL,TLT,Student-t,0.0706601187913146,2.1,398.0546221735021,2,-792.1092443470042,-781.040787694456
AAPL_USDJPY=X,AAPL,USDJPY=X,Student-t,-0.0767802483906424,2.1,396.2640228104965,2,-788.528045620993,-777.4595889684448
AAPL_USO,AAPL,USO,Student-t,0.1173231434126459,2.1,418.4456036255469,2,-832.8912072510938,-821.8227505985456
AAPL_VIXY,AAPL,VIXY,Student-t,-0.3909772899279202,5.0,274.2001080828095,2,-544.400216165619,-533.3317595130708
BTC-USD_ETH-USD,BTC-USD,ETH-USD,Student-t,0.7511378402795557,5.0,896.2460866928022,2,-1788.4921733856045,-1777.4237167330564
BTC-USD_EURUSD=X,BTC-USD,EURUSD=X,Student-t,0.0153171537699595,2.1,406.5719672900941,2,-809.1439345801882,-798.07547792764
BTC-USD_GLD,BTC-USD,GLD,Student-t,0.1051421941813663,2.1,417.5151228180512,2,-831.0302456361024,-819.9617889835542
BTC-USD_MSFT,BTC-USD,MSFT,Student-t,0.143401887581772,2.1,427.2062759195187,2,-850.4125518390374,-839.3440951864892
BTC-USD_QQQ,BTC-USD,QQQ,Student-t,0.1992271345296506,5.0,155.88922058527896,2,-307.7784411705579,-296.7099845180097
BTC-USD_SPY,BTC-USD,SPY,Student-t,0.1961906338336745,5.0,155.475500960747,2,-306.951001921494,-295.8825452689458
BTC-USD_TLT,BTC-USD,TLT,Student-t,0.0460482431654097,2.1,402.4382203696032,2,-800.8764407392064,-789.8079840866582
BTC-USD_USDJPY=X,BTC-USD,USDJPY=X,Student-t,0.156886226470549,2.1,376.3673661385874,2,-748.7347322771748,-737.6662756246266
BTC-USD_USO,BTC-USD,USO,Student-t,-0.3506067811079884,2.1,238.87443146932677,2,-473.74886293865353,-462.6804062861054
BTC-USD_VIXY,BTC-USD,VIXY,Student-t,-0.091606138583595,2.1,414.6989597693773,2,-825.3979195387546,-814.3294628862064
ETH-USD_EURUSD=X,ETH-USD,EURUSD=X,Student-t,-0.1064952114561472,2.1,393.22848674812303,2,-782.4569734962461,-771.3885168436979
ETH-USD_GLD,ETH-USD,GLD,Student-t,0.1205414231310658,2.1,419.8752991995871,2,-835.7505983991742,-824.682141746626
