Asset,Quantile,Threshold,Tail Size,ξ (Shape),σ (Scale)
AAPL,5%,-0.0303,94,0.138,0.0136
AAPL,1%,-0.0522,19,-0.0101,0.0223
BTC-USD,5%,-0.0598,94,0.2555,0.0245
BTC-USD,1%,-0.1088,19,0.3429,0.0304
ETH-USD,5%,-0.0753,94,0.1847,0.0374
ETH-USD,1%,-0.1444,19,0.3034,0.0409
EURUSD=X,5%,-0.0072,94,0.2131,0.0022
EURUSD=X,1%,-0.0123,19,0.3067,0.0022
GLD,5%,-0.0148,94,0.1433,0.0053
GLD,1%,-0.0243,19,-0.0965,0.0091
MSFT,5%,-0.0291,94,0.2134,0.01
MSFT,1%,-0.0464,19,0.2615,0.0143
QQQ,5%,-0.0256,94,0.1489,0.0099
QQQ,1%,-0.0432,19,0.438,0.0085
SPY,5%,-0.0187,94,0.1994,0.0099
SPY,1%,-0.0354,19,0.1635,0.0158
TLT,5%,-0.0162,94,0.2629,0.0043
TLT,1%,-0.0243,19,0.4367,0.0055
USDJPY=X,5%,-0.0086,94,0.0578,0.0043
USDJPY=X,1%,-0.0157,19,0.1478,0.0043
USO,5%,-0.0374,94,0.4533,0.0152
USO,1%,-0.0738,19,0.8428,0.0193
VIXY,5%,-0.0615,94,0.2103,0.019
VIXY,1%,-0.0939,19,0.2213,0.029
