Asset 1,Asset 2,λ_upper,λ_lower
AAPL,BTC-USD,0.14965259219668625,0.06413682522715125
AAPL,ETH-USD,0.1282736504543025,0.07482629609834313
AAPL,EURUSD=X,0.11758417958311063,0.07482629609834313
AAPL,GLD,0.14965259219668625,0.0427578834847675
AAPL,MSFT,0.4382683057188669,0.24585783003741313
AAPL,QQQ,0.5451630144307856,0.27792624265098875
AAPL,SPY,0.4703367183324425,0.28861571352218063
AAPL,TLT,0.085515766969535,0.085515766969535
AAPL,USDJPY=X,0.0427578834847675,0.0427578834847675
AAPL,USO,0.16034206306787813,0.053447354355959376
AAPL,VIXY,0.07482629609834313,0.0
BTC-USD,ETH-USD,0.4703367183324425,0.36344200962052375
BTC-USD,EURUSD=X,0.053447354355959376,0.085515766969535
BTC-USD,GLD,0.14965259219668625,0.053447354355959376
BTC-USD,MSFT,0.14965259219668625,0.032068412613575625
BTC-USD,QQQ,0.17103153393907,0.053447354355959376
BTC-USD,SPY,0.17103153393907,0.053447354355959376
BTC-USD,TLT,0.06413682522715125,0.02137894174238375
BTC-USD,USDJPY=X,0.032068412613575625,0.0427578834847675
BTC-USD,USO,0.085515766969535,0.053447354355959376
BTC-USD,VIXY,0.09620523784072688,0.053447354355959376
ETH-USD,EURUSD=X,0.032068412613575625,0.085515766969535
ETH-USD,GLD,0.09620523784072688,0.032068412613575625
ETH-USD,MSFT,0.11758417958311063,0.032068412613575625
ETH-USD,QQQ,0.16034206306787813,0.11758417958311063
ETH-USD,SPY,0.14965259219668625,0.09620523784072688
ETH-USD,TLT,0.06413682522715125,0.06413682522715125
ETH-USD,USDJPY=X,0.032068412613575625,0.06413682522715125
ETH-USD,USO,0.085515766969535,0.053447354355959376
ETH-USD,VIXY,0.0427578834847675,0.053447354355959376
EURUSD=X,GLD,0.09620523784072688,0.053447354355959376
EURUSD=X,MSFT,0.085515766969535,0.0427578834847675
EURUSD=X,QQQ,0.07482629609834313,0.10689470871191875
EURUSD=X,SPY,0.10689470871191875,0.07482629609834313
EURUSD=X,TLT,0.10689470871191875,0.07482629609834313
EURUSD=X,USDJPY=X,0.053447354355959376,0.0427578834847675
EURUSD=X,USO,0.0427578834847675,0.0427578834847675
EURUSD=X,VIXY,0.1282736504543025,0.07482629609834313
GLD,MSFT,0.11758417958311063,0.09620523784072688
GLD,QQQ,0.16034206306787813,0.032068412613575625
GLD,SPY,0.14965259219668625,0.07482629609834313
GLD,TLT,0.19241047568145375,0.085515766969535
GLD,USDJPY=X,0.06413682522715125,0.0427578834847675
GLD,USO,0.14965259219668625,0.0427578834847675
GLD,VIXY,0.14965259219668625,0.032068412613575625
MSFT,QQQ,0.6199893105291288,0.4703367183324425
MSFT,SPY,0.4703367183324425,0.3527525387493319
MSFT,TLT,0.09620523784072688,0.085515766969535
MSFT,USDJPY=X,0.0427578834847675,0.032068412613575625
MSFT,USO,0.13896312132549438,0.085515766969535
MSFT,VIXY,0.0427578834847675,0.0
QQQ,SPY,0.7375734901122394,0.4703367183324425
QQQ,TLT,0.09620523784072688,0.085515766969535
QQQ,USDJPY=X,0.06413682522715125,0.032068412613575625
QQQ,USO,0.13896312132549438,0.09620523784072688
QQQ,VIXY,0.053447354355959376,0.0
SPY,TLT,0.1282736504543025,0.09620523784072688
SPY,USDJPY=X,0.09620523784072688,0.0427578834847675
SPY,USO,0.22447888829502938,0.085515766969535
SPY,VIXY,0.06413682522715125,0.010689470871191875
TLT,USDJPY=X,0.16034206306787813,0.0427578834847675
TLT,USO,0.11758417958311063,0.0427578834847675
TLT,VIXY,0.23516835916622125,0.02137894174238375
USDJPY=X,USO,0.07482629609834313,0.06413682522715125
USDJPY=X,VIXY,0.10689470871191875,0.02137894174238375
USO,VIXY,0.085515766969535,0.0427578834847675
