Ticker,Start Date,End Date,Total Rows,Missing Rows,Percent Missing
AAPL,2011-04-29,2025-04-28,3520,0,0.0
BTC-USD,2014-09-17,2025-04-28,3877,0,0.0
ETH-USD,2017-11-09,2025-04-28,2728,0,0.0
EURUSD=X,2011-04-29,2025-04-28,3644,0,0.0
GLD,2011-04-29,2025-04-28,3520,0,0.0
MSFT,2011-04-29,2025-04-28,3520,0,0.0
QQQ,2011-04-29,2025-04-28,3520,0,0.0
SPY,2011-04-29,2025-04-28,3520,0,0.0
TLT,2011-04-29,2025-04-28,3520,0,0.0
USDJPY=X,2011-04-29,2025-04-28,3645,0,0.0
USO,2011-04-29,2025-04-28,3520,0,0.0
VIXY,2011-04-29,2025-04-28,3520,0,0.0
